simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	5.923145	1.0533621	2.0301308	263.14581	1.2671858	1.3659209	-0.0024503579	0.015990772
1	1.6661491	-0.91702632	2.6390425	1282.2821	1.8490609	1.6362223	0.0089266425	0.011029542
2	1.6527006	-0.55067389	2.0945929	909.13148	1.6104411	1.5608706	0.032291868	-0.041412955
3	0.74913455	1.0984733	0.96050149	1290.159	1.5486523	1.5908854	0.024309732	0.0453065
4	3.6229343	0.58563957	2.6432339	349.08993	1.4150862	1.4066268	-0.040099972	0.034306415
5	3.3238176	0.39041463	0.35682708	1050.5325	1.6351629	1.7045964	-0.014019199	0.018941781
6	2.9578287	-0.54325895	1.7584817	314.73277	1.4188523	1.5346666	0.025860287	-0.0014393299
7	0.51457126	-1.0153521	2.9566765	842.37707	1.5360664	1.5297589	0.019823776	0.03570795
8	5.9830292	0.95627987	0.48259436	748.66564	1.5078309	1.5915635	-0.042971096	-0.031539638
9	4.4502202	-0.50073823	1.6443882	388.9405	1.4577543	1.3677543	-0.0080807877	0.02516183
10	2.7040567	-0.39850663	1.079266	256.2305	1.4291681	1.4141759	0.045078045	0.0053008415
11	5.0818308	0.52572448	0.78474245	812.17774	1.4745132	1.6156213	-0.046273797	-0.034072492
12	4.4136631	0.11584202	1.039474	522.91544	1.5309626	1.34936	0.012065459	-0.048075434
13	4.0216375	-0.77426918	2.0700286	1253.842	1.5687514	1.5178803	0.030459675	-0.019252878
14	0.066162298	-1.2565751	0.50810262	814.33998	1.5526356	1.5522156	-0.020615914	-0.026950315
15	5.7481202	0.93109226	2.6059886	1680.5236	1.6892629	1.7542945	-0.047465483	-0.0065118992
16	5.4703317	0.13633982	2.1433292	381.31009	1.4858618	1.4111353	0.045275933	-0.010908158
17	1.4080519	-0.76610009	2.184316	943.20635	1.5789452	1.5989634	0.014508676	0.01518056
18	1.3161058	-0.64388903	0.53546069	807.6489	1.7417361	1.6350672	0.037512878	-0.042043759
19	0.60789625	-1.1208054	2.1703644	747.74467	1.3833785	1.3620273	-0.04875001	0.049084723
20	6.2480482	0.34796534	2.1290409	450.61109	1.4398252	1.6105179	0.048875005	0.011346923
21	3.3265122	-0.19651118	2.7759645	973.16495	1.7336717	1.7142824	0.017469473	0.03638284
22	0.37307845	-0.43503502	2.8834601	216.89843	1.3569967	1.2518538	-0.03288522	0.028293448
23	4.3268888	-0.99590663	2.5670556	822.04283	1.6224718	1.6081701	-0.042628302	0.048646415
24	5.0874881	1.0580646	0.032352303	265.57688	1.3506298	1.5156138	0.048148259	-0.020322531
25	0.6882847	-1.2607025	2.215733	658.18471	1.4905297	1.5255721	0.043864934	0.019690734
26	3.9745839	0.49656095	0.2298142	287.12256	1.4612129	1.4844417	0.039720961	0.014468505
27	4.858365	-0.18128858	2.5045249	906.346	1.6064906	1.5774061	0.032545282	0.045608097
28	2.0425071	1.4369196	2.6032899	76.352281	1.4836929	1.3732362	-0.028331115	0.0031951632
29	1.2936349	0.20900274	0.85637728	431.13638	1.4228972	1.3822712	-0.027540409	0.029323342
30	0.65005231	-0.50868992	0.72564183	281.72	1.5268407	1.3958048	0.018642965	0.033856474
31	3.8030782	-1.527552	0.23437417	4467.1483	2.4398585	1.9895277	-0.0015507753	-0.03722424
32	3.6812013	-0.25719677	2.6189318	1150.3072	1.639151	1.6669609	-0.042519887	-0.024473946
33	5.0327038	-1.0644253	2.4968333	1156.7541	1.7619075	1.6253967	0.045168536	-0.045281741
34	2.8979198	-0.817129	0.50603784	609.62741	1.4003118	1.495279	-0.044315815	0.041318821
35	6.2359393	0.61046712	0.58003979	469.11392	1.5649671	1.3079121	0.045307498	-0.020473034
36	5.953362	1.0564065	2.6786883	274.64191	1.5009732	1.2926342	0.029549954	-0.015800433
37	0.64970793	-1.2490297	0.55016537	594.99868	1.214307	1.4774085	0.0021189441	0.0099860853
38	5.2993174	-0.18851265	0.57044295	1039.3469	1.4125399	1.7504675	-0.020276726	-0.00089069803
39	1.760018	0.42264284	2.0859287	549.7697	1.5419418	1.3616868	-0.0088750049	-0.029627899
40	2.9315055	-0.86738032	0.76199356	818.03173	1.6006692	1.5022765	0.043616821	-0.033693787
41	2.259286	-1.1365445	2.7925235	45.161105	1.2693973	1.2082697	-0.035069687	-0.031619574
42	2.9056879	1.2707842	1.9704058	337.09581	1.4906204	1.4322381	-0.033793128	-0.020949654
43	2.6486352	-0.50389484	2.064026	416.65484	1.4355621	1.5674752	0.009010291	0.026236278
44	5.9949238	0.021170318	0.43965655	891.9953	1.4065805	1.5727542	0.03533588	0.012991131
45	1.9437619	-0.38450881	2.1107735	1292.6845	1.6551843	1.5495652	-0.040765687	-0.045662051
46	4.3520048	0.8829403	2.9300558	1090.3201	1.6426978	1.5325092	-0.0001285006	-0.02229765
47	2.9711651	-0.85420156	0.47246759	531.54896	1.4838157	1.58906	0.015365125	-0.04208859
48	4.4746258	1.3703616	0.75069522	937.85533	1.7469506	1.3947993	-0.018378295	0.033739516
49	0.78863491	-0.74576362	3.0147455	758.01979	1.7205863	1.5016492	-0.042950856	0.011226705
50	1.4008469	-0.59177478	0.52965585	1368.3073	1.6267955	1.6639888	-0.01416301	-0.044207554
