simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius1,radius2,compactness1,compactness2,mej_dyn,mej_wind,mej_total,phi,costheta,distmean,diststd
0,63662.0147,1677716492.28,5.923145,1.0533621,339.37121,60.353203,2.0301308,263.14581,1.3659209,1.2671858,0.015990772,-0.0024503579,0.0569541,1.3659209,1.2671858,1.2923181,1.1989034,11.93925,11.97706,0.16895,0.15624,0.00234,0.037451,0.039791,51.900778,0.443352,553.355833,194.809759
2,61540.7227,1494436860.49,1.6527006,-0.55067389,94.692769,-31.55129,2.0945929,909.13148,1.6104411,1.5608706,0.032291868,-0.041412955,0.1815606,1.6104411,1.5608706,1.362978,1.3210246,11.781583,11.82253,0.20186,0.19497,0.003644,0.039254,0.042898,61.478027,0.500171,1089.464086,313.045394
4,62705.4287,1595067461.08,3.6229343,0.58563957,207.578845,33.554676,2.6432339,349.08993,1.4150862,1.4066268,-0.040099972,0.034306415,0.0746318,1.4150862,1.4066268,1.3168103,1.3089384,11.916394,11.919723,0.17536,0.17427,0.002645,0.055384,0.058028,53.634255,0.878368,340.888005,81.303502
6,62504.9482,1577745946.75,2.9578287,-0.54325895,169.471101,-31.126445,1.7584817,314.73277,1.5346666,1.4188523,-0.0014393299,0.025860287,0.0676134,1.5346666,1.4188523,1.4374741,1.3289944,11.843665,11.914252,0.19135,0.17586,0.003125,0.04603,0.049155,46.818128,0.186585,613.537831,207.609617
7,63089.1874,1628224210.82,0.51457126,-1.0153521,29.482761,-58.17539,2.9566765,842.37707,1.5360664,1.5297589,0.019823776,0.03570795,0.1694475,1.5360664,1.5297589,1.3134975,1.308104,11.842539,11.846699,0.19154,0.19069,0.003283,0.021134,0.024417,17.517073,0.982952,640.240711,173.213419
8,64498.452,1749984667.46,5.9830292,0.95627987,342.802322,54.790801,0.48259436,748.66564,1.5915635,1.5078309,-0.031539638,-0.042971096,0.1521858,1.5915635,1.5078309,1.3813428,1.3086699,11.798158,11.862006,0.19921,0.18771,0.003471,0.019588,0.023058,73.109327,0.885794,679.068174,191.739689
9,63693.0711,1680399763.57,4.4502202,-0.50073823,254.978835,-28.690187,1.6443882,388.9405,1.4577543,1.3677543,-0.0080807877,0.02516183,0.0826948,1.4577543,1.3677543,1.3464129,1.263287,11.892418,11.938539,0.18102,0.16918,0.00274,0.020333,0.023073,62.922851,0.073525,786.240654,241.164331
10,62392.53,1568033006.59,2.7040567,-0.39850663,154.931036,-22.832748,1.079266,256.2305,1.4291681,1.4141759,0.045078045,0.0053008415,0.0555137,1.4291681,1.4141759,1.3540024,1.3397987,11.90968,11.916801,0.17721,0.17524,0.002697,0.062065,0.064761,32.569322,0.471976,371.563409,79.925665
11,63896.4357,1697970461.01,5.0818308,0.52572448,291.167457,30.121794,0.78474245,812.17774,1.6156213,1.4745132,-0.034072492,-0.046273797,0.1639184,1.6156213,1.4745132,1.3880881,1.2668528,11.776426,11.88335,0.20259,0.18324,0.00361,0.03829,0.0419,73.79822,0.70757,1019.452513,312.4811
12,61597.4793,1499340627.07,4.4136631,0.11584202,252.884268,6.637259,1.039474,522.91544,1.5309626,1.34936,0.012065459,-0.048075434,0.1092317,1.5309626,1.34936,1.3802009,1.2164816,11.846026,11.947856,0.19085,0.16678,0.00317,0.053312,0.056482,51.112895,0.506674,991.327792,300.591471
14,61106.6229,1456930636.74,0.066162298,-1.2565751,3.79082,-71.99645,0.50810262,814.33998,1.5526356,1.5522156,-0.020615914,-0.026950315,0.1643153,1.5526356,1.5522156,1.3335182,1.3331574,11.829773,11.830156,0.19382,0.19376,0.0034,0.01396,0.01736,49.945359,0.873669,770.098399,211.991032
16,61715.5693,1509543605.83,5.4703317,0.13633982,313.426919,7.811696,2.1433292,381.31009,1.4858618,1.4111353,0.045275933,-0.010908158,0.0811572,1.4858618,1.4111353,1.3743253,1.3052082,11.876128,11.917976,0.18476,0.17485,0.002886,0.066306,0.069193,59.884391,0.541763,646.749849,225.624429
17,62191.4404,1550658872.57,1.4080519,-0.76610009,80.675431,-43.894302,2.184316,943.20635,1.5989634,1.5789452,0.01518056,0.014508676,0.1876879,1.5989634,1.5789452,1.3462825,1.3294277,11.791556,11.808801,0.20025,0.19745,0.003639,0.034414,0.038053,63.706187,0.575749,1215.921778,309.172635
