simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	1.7755526	-0.75582883	0.6794696	408.6239	1.5868911	1.5412053	-0.0087275151	-0.45158872
1	0.62338936	-0.80975989	2.6818813	339.98016	1.8585584	1.7937335	-0.01218869	0.065558061
2	2.8075598	-0.053046081	0.57445592	384.82888	1.6927687	1.636642	-0.079512782	-0.20560567
3	0.11101211	-0.3267155	0.49158396	389.41439	1.8779706	1.6236936	-0.16591808	0.24704728
4	0.90171014	0.34458973	0.21996888	99.830336	1.2075868	1.0791143	0.27584037	0.3978506
5	2.1593047	0.58154604	0.41403881	369.43215	2.1389029	1.2701962	-0.48795417	-0.13344878
6	2.9008096	0.014373412	0.60345345	432.66343	1.8372108	1.3019977	0.29434773	0.11004046
7	1.5279502	1.503946	0.99736689	155.56589	1.504213	1.1592641	-0.065913558	0.11710837
8	0.24087834	0.34845931	0.40974475	284.13019	1.524452	1.0984851	-0.26748526	-0.22063351
9	3.658658	-0.5829733	0.32023512	495.2151	2.1362364	2.0263305	0.29907593	0.35123765
10	3.6626717	1.3659519	0.40858347	200.9188	1.9133101	1.3332824	0.40489802	0.10762023
11	2.7460636	-0.086227254	2.7650344	358.63833	1.6192521	1.1264166	-0.42573968	-0.38243091
12	3.1405317	0.9800612	1.0224974	166.15002	1.8719573	1.5193616	0.24386552	-0.2469416
13	4.5897327	0.41515315	0.45672763	248.67693	1.7403979	1.2723908	-0.43866491	0.31220502
14	5.9628576	0.17411008	1.6230049	142.36902	1.9479449	1.9194597	-0.34849143	-0.063728288
15	5.7251294	-0.77400424	0.84641729	185.59767	1.9787272	1.6964364	-0.042330883	-0.42727423
16	4.4659459	0.2805062	2.751363	456.50203	2.0528789	1.5166999	0.33498681	-0.49495095
17	1.4576184	0.85391339	2.4941076	171.74256	1.8678879	1.6842164	-0.166308	-0.15247245
18	1.8094942	0.12912099	0.26935593	377.228	1.3634635	1.2281516	-0.36476108	0.30407995
19	3.2676855	0.26662913	1.6427144	109.87174	2.0346	1.9104148	-0.33713001	0.23483956
20	4.7522374	-0.040393483	0.056788453	499.25516	2.1357565	1.2398884	0.17714621	-0.49983925
21	6.0936405	0.39417638	0.90515089	232.68239	1.1579289	1.0977271	-0.44067785	0.0012404036
22	0.584177	1.1486174	2.4276377	406.15634	1.4835328	1.3210344	0.053129941	0.33506146
23	4.3587706	0.99728472	0.47160216	389.87336	2.0137212	1.9233468	0.19114119	-0.05790266
24	3.9667616	-1.1022032	2.5012826	397.57545	1.4526414	1.1638191	-0.47902906	0.39430368
25	5.1219494	-0.40738213	0.52825359	411.05245	1.6411505	1.5552773	0.45499906	0.31629348
26	1.6556595	-0.49108327	1.9326612	273.22865	1.8811215	1.726091	0.031809159	0.32605642
27	0.10637031	-0.27564086	3.0245308	279.61738	1.7718836	1.5791978	-0.11060631	-0.29735005
28	1.1700082	-0.21856584	0.5041951	481.93892	1.3424999	1.3391937	0.10374846	0.13872433
29	5.0535935	1.351782	2.7350564	248.94829	2.050956	1.7410059	0.31295514	0.17925104
30	0.59100446	-1.0203997	1.0962362	156.00069	1.780182	1.2977562	-0.067693368	-0.17169043
31	1.8283859	1.1530563	2.7264231	268.54519	1.5671735	1.2311075	0.093105964	0.12308449
32	1.5910721	-0.020006002	2.5907433	360.37898	2.0739515	1.6222945	0.04057046	-0.37744141
33	1.0343004	1.0315547	0.64997473	251.20222	1.93191	1.6204542	0.35010746	0.0046247281
34	5.2262904	-1.4217888	1.836134	203.9045	1.9259261	1.4675369	-0.47927666	0.16184293
35	4.6812519	0.12245325	2.4631434	377.26547	1.8470137	1.2259798	0.18221959	0.44982889
36	3.972898	1.3230366	0.54939373	186.29927	2.0513368	1.544331	-0.16213126	-0.40206456
37	3.6540228	0.96091679	2.4522569	279.72966	1.906401	1.4931011	-0.056415316	-0.45289981
38	2.4167401	0.27156514	2.6487619	258.38679	1.9921631	1.3084505	-0.45403221	0.43412068
39	4.3232212	0.58618574	2.4046075	278.48592	1.9467156	1.5315558	-0.19131152	0.14930953
40	4.7898977	0.19795164	3.0802564	477.00037	1.8123462	1.5917405	-0.13083392	-0.077807195
41	3.9496061	-0.060622179	0.21398069	462.97741	2.0372832	1.7453161	0.23808526	-0.33946306
42	4.3048464	-0.95129243	3.0081001	342.43221	1.8855685	1.5491667	0.19237651	-0.36693728
43	5.9459147	-0.28142	0.45478385	346.27187	2.0731893	1.8757364	-0.054267745	0.47354946
44	5.1286029	-0.86469639	2.0386369	324.5448	1.343558	1.3052821	0.37914616	0.31178573
45	3.5447906	0.12826781	2.3937777	426.56977	1.7011781	1.4212999	-0.10737719	-0.12061501
46	3.1310166	0.6968587	1.5725245	217.87061	1.4249294	1.2492104	0.20866677	-0.36028019
47	3.5718346	-0.94429888	1.162235	385.39835	1.5574542	1.5506067	-0.0025423602	0.47002271
48	2.5535584	-0.59444301	2.3428827	407.28932	1.9186072	1.7504954	0.39940527	-0.082744539
49	0.10617766	-0.80819987	0.71198278	339.02415	1.9813459	1.6558022	0.43589509	0.065959595
50	4.1615347	-0.72131222	1.0981847	396.69802	2.0883839	1.125635	-0.48477691	-0.25843817
51	5.5062499	-1.2099802	1.7205107	352.22518	2.1206686	1.3215977	0.16045094	-0.36945727
52	6.000536	-0.70250878	2.1710919	170.18284	1.8006977	1.2005293	0.029490398	0.44308332
53	5.2792915	-0.34756972	1.1134328	200.46728	2.0077932	1.628283	0.0030232253	0.15210554
54	4.0865005	0.94194458	0.89961028	304.46022	1.6541651	1.1821523	0.06944003	0.33335939
55	1.0743556	-0.17076744	0.69540965	343.18756	1.7940937	1.3717297	0.31504852	-0.35401922
56	4.8359382	-1.3544656	0.23236663	254.55056	1.6398476	1.4384735	0.072611563	-0.31148222
57	5.5218694	0.0063233441	1.501819	269.74921	2.0545015	1.6598113	-0.31236392	0.063960873
58	5.4060505	-1.2714725	0.593987	442.24059	2.1923869	1.7016442	0.47396383	0.42617723
59	5.6296424	0.25456366	0.69450259	412.14798	1.9497858	1.6111766	-0.21801761	0.41757146
60	3.4274409	1.0525374	0.37834762	384.41214	1.9722897	1.7641222	0.05206487	0.063613869
61	5.5832084	-0.75392439	1.3962222	207.17558	1.9738362	1.6137472	0.15067285	-0.19238342
62	2.4931975	1.0190661	2.5961795	470.86685	2.0891716	1.2985874	0.17564203	0.37396619
63	0.63463743	-1.1709486	2.3381516	184.39671	1.7015673	1.5949011	-0.38021898	-0.27629712
64	3.4087444	-0.2197888	2.1260429	193.84154	1.7603023	1.0701083	-0.16088867	-0.34694904
65	0.41382662	-1.0175013	1.5161987	308.0199	1.7949431	1.3356826	0.32502526	0.47727075
66	5.74982	0.45857057	2.3949065	317.89323	1.7491146	1.5295082	0.22028382	-0.078456275
67	6.2393124	0.52221983	1.1943671	433.29634	2.2460949	1.4329978	0.31740487	0.060998254
68	5.7922277	-0.12954083	2.7304545	431.67403	1.9179053	1.8783644	0.18035586	0.3564907
69	2.7131813	0.23517433	0.83919894	300.69704	2.0928392	1.6702118	0.036181401	-0.407756
70	1.9824937	-0.90257241	1.4328767	248.31063	1.8583714	1.8441585	-0.44366348	-0.24896225
71	2.9625851	-0.14867706	2.7910674	489.25398	1.7249807	1.2537324	0.13121267	0.17280804
72	1.0083888	0.38801874	2.1343201	174.40616	1.9596375	1.1202722	-0.32542783	0.08158163
73	5.0388654	1.2641527	0.40001127	395.1566	1.5421488	1.4895562	-0.25760618	-0.059329882
74	5.5583069	0.60185379	1.5490119	202.9315	2.0200412	1.1933186	-0.43568552	0.45597571
75	6.2714772	-0.76663236	2.3331334	464.89073	1.9645486	1.7545905	0.26831001	-0.10514762
76	0.97329805	-0.32382916	0.67008239	295.8075	1.8847957	1.2978972	-0.23438776	0.093010299
77	4.9526007	0.18168868	2.5120087	349.31906	1.6973984	1.3707513	-0.012755077	-0.089867584
78	2.4600365	-0.37588379	0.72528348	190.21555	1.8010896	1.6863756	0.11179876	0.25376636
79	4.7694876	0.072831573	0.52015025	465.81648	2.0322809	1.766065	0.27233806	0.18716386
80	2.684276	0.46858548	1.1630172	71.161307	1.392364	1.3725978	0.091018982	0.14693262
81	2.2371256	1.2361478	2.131392	160.25443	1.9300479	1.5649335	-0.14121187	0.43431833
82	4.3366219	-0.76806316	2.0579364	227.57577	1.9957587	1.8664416	0.19286515	-0.44831833
83	1.2952757	-0.68239387	0.23283297	133.89501	1.826951	1.8060675	0.23016123	-0.19589132
