simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius1_source,radius2_source,compactness1,compactness2,mej_dyn,mej_wind,mej_total,phi,costheta,distmean,diststd
0,64051.108,1711334149.49,1.7755526,-0.75582883,101.73167,-43.305802,0.6794696,408.6239,1.5868911,1.5412053,-0.0087275151,-0.45158872,0.0866476,1.5868911,1.5412053,1.46035482767454,1.4183119435811238,11.890669,11.914609,0.18136,0.17579,0.002799,0.057345,0.060144,52.729895,0.777906,338.827222,113.404008
1,64307.7156,1733505049.53,0.62338936,-0.80975989,35.717579,-46.395824,2.6818813,339.98016,1.8585584,1.7937335,-0.01218869,0.065558061,0.072777,1.8585584,1.7937335,1.7324741161357176,1.6720469262604434,11.647412,11.719765,0.21965,0.21068,0.004543,0.000293,0.004836,32.06742,0.896181,283.550082,65.346507
2,61119.7867,1458067989.07,2.8075598,-0.053046081,160.861327,-3.039317,0.57445592,384.82888,1.6927687,1.636642,-0.079512782,-0.20560567,0.0818667,1.6927687,1.636642,1.5646740437135227,1.5127945455580476,11.820306,11.857425,0.19548,0.1884,0.00335,0.028165,0.031516,56.135778,0.839488,510.911771,154.289575
3,64151.7855,1720032684.8,0.11101211,-0.3267155,6.360525,-18.719419,0.49158396,389.41439,1.8779706,1.6236936,-0.16591808,0.24704728,0.0827902,1.8779706,1.6236936,1.7343808389514668,1.4995458758343327,11.644619,11.866845,0.21995,0.18661,0.004659,0.009769,0.014428,50.279994,0.881586,461.785941,152.162605
4,62265.3123,1557041400.19,0.90171014,0.34458973,51.664185,19.743537,0.21996888,99.830336,1.2075868,1.0791143,0.27584037,0.3978506,0.0221573,1.2075868,1.0791143,1.1814099101817543,1.0557223118361734,12.001668,12.029964,0.14536,0.12959,0.001735,0.038885,0.04062,52.497033,0.975904,81.284861,18.071208
5,63270.0045,1643846803.57,2.1593047,0.58154604,123.719046,33.320134,0.41403881,369.43215,2.1389029,1.2701962,-0.48795417,-0.13344878,0.0787579,2.1389029,1.2701962,1.9827460288637433,1.1774618059696944,11.084827,12.002894,0.26414,0.14486,0.074415,0.01355,0.087965,20.719214,0.915503,311.130526,84.060077
6,63169.3805,1635152894.82,2.9008096,0.014373412,166.204147,0.823536,0.60345345,432.66343,1.8372108,1.3019977,0.29434773,0.11004046,0.0914492,1.8372108,1.3019977,1.6832764520427475,1.192907242339212,11.707437,11.998878,0.21232,0.14681,0.007956,0.033545,0.041501,22.544129,0.823381,453.811438,168.235569
7,61600.949,1499640411.62,1.5279502,1.503946,87.545098,86.169758,0.99736689,155.56589,1.504213,1.1592641,-0.065913558,0.11710837,0.0342229,1.504213,1.1592641,1.4544378882260682,1.1209035086788197,11.894669,12.016338,0.18057,0.13775,0.003575,0.037451,0.041027,63.879201,0.542516,171.562344,55.525651
8,61602.3547,1499761860.01,0.24087834,0.34845931,13.801312,19.965248,0.40974475,284.13019,1.524452,1.0984851,-0.26748526,-0.22063351,0.061308,1.524452,1.0984851,1.4363897836879307,1.0350294893990857,11.904382,12.034145,0.17818,0.12701,0.004384,0.03124,0.035624,40.876248,0.917223,396.005487,155.385536
9,61746.8478,1512246072.02,3.658658,-0.5829733,209.625662,-33.40191,0.32023512,495.2151,2.1362364,2.0263305,0.29907593,0.35123765,0.1038138,2.1362364,2.0263305,1.935323148911145,1.8357539100048545,11.251852,11.484936,0.254,0.23604,0.0,0.0,0.006827,27.916637,0.949161,432.811214,116.724659
10,61940.7422,1528998543.13,3.6626717,1.3659519,209.85563,78.263279,0.40858347,200.9188,1.9133101,1.3332824,0.40489802,0.10762023,0.043892,1.9133101,1.3332824,1.8328621374822651,1.2772225628932208,11.490292,11.973625,0.23556,0.15752,0.012216,0.033227,0.045442,20.560548,0.917685,176.542858,43.916472
11,62293.0079,1559434302.17,2.7460636,-0.086227254,157.337855,-4.940458,2.7650344,358.63833,1.6192521,1.1264166,-0.42573968,-0.38243091,0.0765712,1.6192521,1.1264166,1.504082671159439,1.0463001336026265,11.864681,12.031547,0.1872,0.12842,0.00594,0.063527,0.069467,30.774227,0.929936,369.137134,130.900267
12,62592.5399,1585313868.41,3.1405317,0.9800612,179.939212,56.15337,1.0224974,166.15002,1.8719573,1.5193616,0.24386552,-0.2469416,0.0364911,1.8719573,1.5193616,1.8060525177337647,1.4658704250508285,11.537839,11.887718,0.23116,0.18209,0.006023,0.008718,0.014741,32.711788,0.521236,441.038104,125.569185
13,62256.9003,1556314605.34,4.5897327,0.41515315,262.972313,23.786523,0.45672763,248.67693,1.7403979,1.2723908,-0.43866491,0.31220502,0.0539373,1.7403979,1.2723908,1.6513296344386998,1.2072737128832234,11.74279,11.995211,0.20767,0.14863,0.006399,0.029383,0.035783,73.977849,0.8975,289.728409,92.954129
14,63062.5167,1625919862.2,5.9628576,0.17411008,341.646574,9.975773,1.6230049,142.36902,1.9479449,1.9194597,-0.34849143,-0.063728288,0.0313847,1.9479449,1.9194597,1.888669545698215,1.8610511414286062,11.373796,11.434966,0.24522,0.24034,0.0,0.0,0.00654,65.070302,0.052185,571.280986,225.363682
15,61550.0508,1495242811.13,5.7251294,-0.77400424,328.025752,-44.347176,0.84641729,185.59767,1.9787272,1.6964364,-0.042330883,-0.42727423,0.04064,1.9787272,1.6964364,1.9014521083665397,1.6301855907624572,11.342768,11.762705,0.24755,0.20466,0.006496,0.000359,0.006855,19.707424,0.662671,294.486526,99.517816
16,64263.2244,1729661003.17,4.4659459,0.2805062,255.879852,16.071821,2.751363,456.50203,2.0528789,1.5166999,0.33498681,-0.49495095,0.0961831,2.0528789,1.5166999,1.8727517957781568,1.383619102608318,11.409862,11.930968,0.24238,0.17125,0.00973,0.013548,0.023278,59.906991,0.924822,421.504311,118.417596
17,63930.4697,1700910996.49,1.4576184,0.85391339,83.515382,48.925633,2.4941076,171.74256,1.8678879,1.6842164,-0.166308,-0.15247245,0.0376866,1.8678879,1.6842164,1.8000500709576162,1.623049140330092,11.548305,11.769216,0.23018,0.20365,0.005078,0.000139,0.005217,48.835812,0.797603,165.19224,39.719144
18,61181.3836,1463389957.94,1.8094942,0.12912099,103.676381,7.398088,0.26935593,377.228,1.3634635,1.2281516,-0.36476108,0.30407995,0.0803335,1.3634635,1.2281516,1.2620765123625899,1.1368263895443733,11.978724,12.0133,0.15559,0.13974,0.001978,0.055335,0.057313,28.708534,0.963942,392.507212,134.266124
19,62615.5432,1587301348.02,3.2676855,0.26662913,187.224588,15.276724,1.6427144,109.87174,2.0346,1.9104148,-0.33713001,0.23483956,0.0243465,2.0346,1.9104148,1.9862419263164217,1.8650083418929526,11.072641,11.426997,0.2649,0.24102,0.0,0.0,0.007588,59.794629,0.071856,178.661062,59.829462
20,63851.4044,1694079761.78,4.7522374,-0.040393483,272.283146,-2.314376,0.056788453,499.25516,2.1357565,1.2398884,0.17714621,-0.49983925,0.1046062,2.1357565,1.2398884,1.9335004573628665,1.1224710253621668,11.256495,12.015974,0.25365,0.13795,0.083379,0.017309,0.100688,16.810721,0.998388,613.612708,177.538152
21,62233.6001,1554301469.7,6.0936405,0.39417638,349.139883,22.584643,0.90515089,232.68239,1.1579289,1.0977271,-0.44067785,0.0012404036,0.0505882,1.1579289,1.0977271,1.1021719874940388,1.0448690412106196,12.020405,12.031879,0.1354,0.12824,0.001511,0.031275,0.032786,58.891842,0.617567,238.342218,70.004688
22,62482.0055,1575763695.55,0.584177,1.1486174,33.470877,65.810929,2.4276377,406.15634,1.4835328,1.3210344,0.053129941,0.33506146,0.0861531,1.4835328,1.3210344,1.365859689024878,1.2162505842642415,11.939275,11.991721,0.16894,0.14978,0.00237,0.026565,0.028935,68.717278,0.755778,364.661707,125.859342
