simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
0,61576.492,1497527330.0,2.993575,0.31569722,171.519213,18.088118,2.0030861,1014.3241,8.8403541,1.5373249,0.5728372,0.030051949,11.841399,0.19172,0.0,0.110668,0.0,15.599979,0.418951,1458.582878,520.318766
1,61306.433,1474194228.85,3.3981228,1.3843112,194.698095,79.315189,1.0689211,1093.0053,6.2303059,1.7181483,-0.81131404,-0.029605217,11.666716,0.21748,0.0,0.022739,0.0,20.673009,0.48107,1567.351842,514.572342
2,64483.9453,1748731290.51,1.1415065,1.1881556,65.403505,68.076301,2.629991,2249.3387,36.130994,1.7898148,-0.49338849,0.035750768,11.564889,0.22854,0.0,0.313476,0.0,15.108664,0.871961,1954.6083,605.154667
3,62381.7522,1567101811.76,5.923145,1.0533621,339.37121,60.353203,2.0301308,333.73846,5.611615,1.3847393,-0.26851709,0.027101883,11.930371,0.1714,0.0,0.069682,0.0,25.096011,0.443352,603.674469,147.965195
4,64401.3506,1741595110.48,0.67693347,-0.92783274,38.785431,-53.1609,0.71928325,1849.9214,8.0043661,1.7542698,0.73703328,0.012692759,11.618068,0.22298,0.000113,0.061607,0.0,55.212353,0.752278,1931.493419,688.256058
5,61497.4336,1490696678.37,0.64246791,0.23709627,36.8107,13.584616,1.2560887,1172.6176,6.5893291,1.7542965,-0.81798016,0.031916452,11.618029,0.22298,0.0,0.021507,0.0,39.719441,0.309538,1635.957338,507.965358
6,63950.0474,1702602516.89,3.8546085,0.16610729,220.852799,9.517247,1.6693777,1848.7215,17.72921,1.9144381,0.58566159,0.016609131,11.311635,0.24993,0.0,0.126376,0.0,58.517119,0.098422,2790.76489,767.183259
7,63951.0985,1702693331.99,4.929868,-0.16404952,282.46063,-9.399345,3.0431832,1867.0101,11.113011,1.8167766,0.37408328,0.039422966,11.519615,0.2329,0.0,0.07894,0.0,52.247314,0.995162,1334.08789,408.120929
8,61484.8367,1489608311.33,1.6661491,-0.91702632,95.463311,-52.541738,2.6390425,2074.2508,43.774465,1.6857857,0.83674752,0.044362875,11.704065,0.2127,0.0,0.5223,0.0,57.544433,0.876357,1644.962243,429.14102
9,62522.4392,1579257164.51,1.6527006,-0.55067389,94.692769,-31.55129,2.0945929,1341.3102,13.621836,2.0251153,0.41937898,0.025253712,10.86294,0.2753,0.0,0.050108,0.0,70.249247,0.500171,2553.469943,767.898459
11,62227.7138,1553792889.67,5.4791453,-0.15435469,313.931901,-8.843872,0.73982172,938.62012,8.0960387,1.634875,0.57807254,0.0099810122,11.757789,0.20533,0.0,0.080714,0.0,59.62746,0.738589,1171.745789,461.063563
12,63953.0922,1702865584.65,1.9301014,-0.42817376,110.586664,-24.532549,2.3582346,1484.3811,30.811109,1.9909945,-0.11817337,0.010188525,11.048578,0.26611,0.0,0.178326,0.0,37.353066,0.708548,1291.193515,498.129909
13,61793.9396,1516314801.26,1.1945903,0.49515622,68.444982,28.370362,2.0892908,874.56097,8.5438425,1.6018292,-0.35846499,-0.017469938,11.788831,0.20065,0.0,0.077059,0.0,43.60905,0.495573,1529.91161,538.420686
14,63719.1236,1682650697.39,5.9971485,0.2547955,343.611298,14.598707,2.310982,575.7762,9.4826547,1.5419528,0.18376763,0.00096334876,11.836653,0.19237,0.0,0.111732,0.0,34.605873,0.674425,622.428001,159.055199
15,63627.9009,1674769051.72,0.53908163,-0.061076352,30.887102,-3.499417,2.8045328,871.41111,29.359756,1.5027321,-0.32975703,-0.044917803,11.865339,0.18703,0.0,0.390448,0.0,46.983301,0.943731,851.980638,220.617796
16,61808.4459,1517568146.51,2.3255985,-1.0387107,133.246979,-59.513739,2.1491759,1679.787,23.883586,1.7749946,0.49645723,-0.0041914274,11.587496,0.22621,0.0,0.234619,0.0,37.14459,0.546668,2419.668247,777.491987
18,61469.8834,1488316340.47,2.8138605,0.73039712,161.222331,41.848672,0.72115826,1925.4241,58.623179,1.6527284,0.69936545,-0.0084797076,11.741713,0.20786,0.0,0.705203,0.0,26.162489,0.751041,2032.484106,505.410508
19,62776.5284,1601210472.59,2.3872852,0.87115953,136.781366,49.913764,2.0523366,1074.2193,38.62415,1.6695474,0.13797908,-0.039566673,11.722702,0.21032,0.0,0.432364,0.0,35.501465,0.463145,1525.381762,406.961163
20,63556.7826,1668624430.79,3.6229343,0.58563957,207.578845,33.554676,2.6432339,411.51766,7.97049,1.3301805,-0.57397945,0.012084193,11.954458,0.16432,0.0,0.118263,0.0,36.989351,0.878368,380.157531,78.677255
