simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
0,63620.7751,1674153390.23,2.993575,0.31569722,171.519213,18.088118,2.0030861,1014.3241,8.8403541,1.5373249,0.5728372,0.030051949,0.2003597,8.8403541,1.5373249,7.3647542,1.2807202,11.841399,0.19172,0.0,0.0,0.0,69.311198,0.418951,1458.582878,520.318766
1,63108.6059,1629901965.18,3.3981228,1.3843112,194.698095,79.315189,1.0689211,1093.0053,6.2303059,1.7181483,-0.81131404,-0.029605217,0.2142037,6.2303059,1.7181483,5.1311867,1.4150412,11.666716,0.21748,0.0,0.0,0.0,48.901546,0.48107,1567.351842,514.572342
2,63855.0865,1694397892.62,1.1415065,1.1881556,65.403505,68.076301,2.629991,2249.3387,36.130994,1.7898148,-0.49338849,0.035750768,0.4013882,36.130994,1.7898148,25.7822876,1.2771727,11.564889,0.22854,0.0,0.0,0.0,59.553235,0.871961,1954.6083,605.154667
3,61539.6788,1494346666.74,5.923145,1.0533621,339.37121,60.353203,2.0301308,333.73846,5.611615,1.3847393,-0.26851709,0.027101883,0.0715036,5.611615,1.3847393,5.2371404,1.2923328,11.930371,0.1714,0.0,0.0,0.0,70.821572,0.443352,603.674469,147.965195
4,62507.9125,1578002059.69,0.67693347,-0.92783274,38.785431,-53.1609,0.71928325,1849.9214,8.0043661,1.7542698,0.73703328,0.012692759,0.3396366,8.0043661,1.7542698,5.9750279,1.3095117,11.618068,0.22298,0.000113,0.0,3.8e-05,17.952016,0.752278,1931.493419,688.256058
5,63839.9198,1693087489.41,0.64246791,0.23709627,36.8107,13.584616,1.2560887,1172.6176,6.5893291,1.7542965,-0.81798016,0.031916452,0.2280338,6.5893291,1.7542965,5.3657553,1.4285408,11.618029,0.22298,0.0,0.0,0.0,70.324239,0.309538,1635.957338,507.965358
6,61655.2932,1504335749.94,3.8546085,0.16610729,220.852799,9.517247,1.6693777,1848.7215,17.72921,1.9144381,0.58566159,0.016609131,0.3394471,17.72921,1.9144381,13.2362149,1.4292749,11.311635,0.24993,0.0,0.0,0.0,41.338802,0.098422,2790.76489,767.183259
7,61803.8093,1517167541.11,4.929868,-0.16404952,282.46063,-9.399345,3.0431832,1867.0101,11.113011,1.8167766,0.37408328,0.039422966,0.3423326,11.113011,1.8167766,8.2788806,1.3534475,11.519615,0.2329,0.0,0.0,0.0,39.774191,0.995162,1334.08789,408.120929
8,64375.2851,1739343054.13,1.6661491,-0.91702632,95.463311,-52.541738,2.6390425,2074.2508,43.774465,1.6857857,0.83674752,0.044362875,0.3746319,43.774465,1.6857857,31.8444985,1.2263542,11.704065,0.2127,0.0,0.0,0.0,66.048381,0.876357,1644.962243,429.14102
9,63468.8887,1661030404.89,1.6527006,-0.55067389,94.692769,-31.55129,2.0945929,1341.3102,13.621836,2.0251153,0.41937898,0.025253712,0.2567906,13.621836,2.0251153,10.8385886,1.6113387,10.86294,0.2753,0.0,0.0,0.0,22.823001,0.500171,2553.469943,767.898459
