simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
36,61767.813,1514057462.73,4.4136631,0.11584202,252.884268,6.637259,1.039474,809.06428,10.272794,1.6175503,0.89889609,0.040813455,0.1633465,10.272794,1.6175503,8.8303816,1.3904286,11.774526,0.20287,0.09763,0.000122,0.031317,40.119659,0.506674,1300.789683,385.548084
39,61010.2696,1448605713.86,0.066162298,-1.2565751,3.79082,-71.99645,0.50810262,1207.4382,9.4806678,1.5332345,0.9118049,-0.038061426,0.2340291,9.4806678,1.5332345,7.6826938,1.2424622,11.844674,0.19116,0.169035,0.024434,0.046494,30.62889,0.873669,1002.839479,244.505327
113,62770.4374,1600684213.21,2.259286,-1.1365445,129.447553,-65.119203,2.7925235,59.895465,6.4329455,1.2121819,0.4056202,-0.042730685,0.0133812,6.4329455,1.2121819,6.3480018,1.1961757,11.992653,0.14926,0.022268,0.005447,0.005481,65.436862,0.939691,57.961692,5.681332
115,62561.8635,1582663421.11,2.6486352,-0.50389484,151.755618,-28.871048,2.064026,607.11988,10.724337,1.4074059,0.83840376,0.026236278,0.1254953,10.724337,1.4074059,9.5285485,1.2504769,11.919371,0.17437,0.078192,0.011722,0.021276,44.659262,0.473473,1027.93153,297.944132
158,61404.7185,1482686099.8,4.3717974,-0.41336165,250.48554,-23.683878,2.0776688,199.77162,6.0095681,1.3869458,0.84965807,-0.0079708705,0.043649,6.0095681,1.3869458,5.7582272,1.3289389,11.929307,0.17169,0.232704,0.037414,0.067026,21.448631,0.485445,260.548177,63.372606
197,63745.5805,1684936572.54,4.3969779,-0.29969775,251.928276,-17.171416,2.0407824,344.06273,6.1215779,1.5588056,0.75709885,0.027859168,0.0736088,6.1215779,1.5588056,5.7018702,1.4519308,11.823729,0.19469,0.092313,0.000374,0.032993,20.821386,0.452874,677.285552,195.652965
198,63110.7174,1630084403.16,3.0377629,1.142181,174.050993,65.442151,0.65178005,914.18408,7.9344315,1.4383136,0.73431655,-0.039624176,0.1824715,7.9344315,1.4383136,6.7100406,1.2163622,11.903379,0.17844,0.059084,0.003365,0.018069,66.45961,0.795005,949.172102,192.623117
206,62806.0947,1603765003.12,0.7222994,0.22765353,41.384707,13.043586,2.6719136,1545.0404,8.4767658,1.674223,0.9377557,-0.017040581,0.290619,8.4767658,1.674223,6.5679845,1.2972248,11.717172,0.211,0.196203,0.012347,0.060372,61.643496,0.891714,1472.679638,558.702085
209,64410.7263,1742405166.9,3.4564419,1.2633689,198.039533,72.385706,1.4269774,494.3039,6.1046249,1.4693823,0.7419051,0.028433823,0.103635,6.1046249,1.4693823,5.5313804,1.3314024,11.885968,0.18256,0.109549,0.010728,0.034517,41.906063,0.143324,1717.092225,570.217847
257,62875.8915,1609795441.54,5.2918127,-0.57083059,303.198534,-32.706184,1.7186163,398.52049,6.2751422,1.5464816,0.80464071,0.01239127,0.0846211,6.2751422,1.5464816,5.7855617,1.4258266,11.83354,0.19299,0.129227,0.007844,0.042861,74.60417,0.147282,735.60328,215.350902
267,62068.3643,1540025094.37,2.5058214,-0.91553238,143.57299,-52.456141,2.5170776,929.66134,8.2124501,1.5540602,0.84157779,-0.047970388,0.1852566,8.2124501,1.5540602,6.928837,1.3111592,11.828291,0.19402,0.10356,0.005924,0.031834,25.026065,0.811247,792.085224,227.76914
275,62579.2458,1584165253.13,3.8405528,0.21102291,220.047466,12.090722,0.78518936,997.81172,9.652518,1.5535796,0.96830905,0.032898807,0.1974312,9.652518,1.5535796,8.0610207,1.297427,11.828814,0.19395,0.294628,0.046434,0.079785,31.925733,0.707254,1118.103927,370.258234
289,63469.7533,1661105102.96,4.0843913,1.2658593,234.018383,72.528395,2.3158491,660.52234,7.3910679,1.4445252,0.70920434,0.047573671,0.1356569,7.3910679,1.4445252,6.5081875,1.2719733,11.901371,0.17924,0.057248,0.002386,0.01798,62.60631,0.678011,803.016684,182.671267
290,64270.3836,1730279563.93,2.5151402,0.84237622,144.106918,48.264602,0.33771869,1210.5343,7.3107243,1.6842473,0.97243911,-0.01945751,0.2345606,7.3107243,1.6842473,5.9217215,1.3642483,11.706088,0.21247,0.319268,0.022566,0.101762,64.13939,0.943513,1118.218472,340.867353
362,64028.9905,1709423194.85,2.9307564,1.0929902,167.919973,62.623726,1.5739145,966.75926,10.909656,1.3528225,0.9817987,0.0039392263,0.1919017,10.909656,1.3528225,9.1531505,1.1350118,11.945917,0.16723,0.388956,0.101244,0.092066,22.045851,0.003118,1522.519276,475.800232
388,63333.3153,1649316860.06,1.2212013,1.3617844,69.96968,78.024499,2.3317278,295.00048,10.486418,1.5368828,0.95030218,-0.021501819,0.0635537,10.486418,1.5368828,9.8597919,1.4450449,11.841814,0.19166,0.223942,0.038302,0.059503,67.299113,0.689596,327.178633,81.45328
408,61177.8071,1463080952.3,2.6158273,-0.3192832,149.875864,-18.29358,1.4291389,298.31961,8.4009629,1.5050433,0.91332388,0.035219985,0.0642381,8.4009629,1.5050433,7.8938756,1.414198,11.864145,0.18733,0.211849,0.032731,0.058013,24.051139,0.141184,994.203341,325.589802
419,64238.0579,1727486623.14,4.2365082,-0.17916126,242.73404,-10.265184,1.6323387,430.85745,8.9550539,1.4726645,0.9396612,-0.015870525,0.0910895,8.9550539,1.4726645,8.2074422,1.3497193,11.884265,0.18299,0.259931,0.047472,0.068369,15.034612,0.061504,862.758624,403.510846
437,63286.1757,1645243997.63,4.5446854,0.85550697,260.391293,49.016939,2.0446233,926.83931,6.4108165,1.6594005,0.87945989,0.041707977,0.1847494,6.4108165,1.6594005,5.4111161,1.4006342,11.733254,0.20885,0.166107,0.003411,0.058885,48.085311,0.456295,1397.708733,463.893091
440,61231.4915,1467719286.62,2.3278171,0.12861392,133.374095,7.369035,0.6317352,934.02235,7.3037806,1.6578503,0.95628796,0.030417472,0.18604,7.3037806,1.6578503,6.1581231,1.397803,11.734879,0.20863,0.279901,0.021034,0.088291,35.658614,0.807004,1169.488479,371.602426
