simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	0.62338936	-0.80975989	2.6818813	659.8057	15.221812	1.9198136	0.12980495	-0.01218869
1	2.8075598	-0.053046081	0.57445592	753.30333	13.355397	1.7106103	-0.1574353	-0.20560567
2	0.11101211	-0.3267155	0.49158396	762.94463	16.702375	1.6988379	-0.32851779	0.24704728
3	0.90171014	0.34458973	0.21996888	184.47588	3.0643749	1.2183794	0.78774416	0.27584037
4	2.1593047	0.58154604	0.41403881	721.04154	5.747683	2.2099643	-0.26422858	-0.48795417
5	2.9008096	0.014373412	0.60345345	854.61908	6.1781673	1.9265984	0.21788011	0.29434773
6	2.1339736	-0.23171621	0.90556823	777.93356	9.3091345	2.2145116	-0.43264848	0.13953292
7	1.5279502	1.503946	0.99736689	290.90056	10.321226	1.1838827	-0.13050884	0.11710837
8	0.24087834	0.34845931	0.40974475	545.41745	2.888361	1.5718665	-0.43685433	-0.26748526
9	3.658658	-0.5829733	0.32023512	989.56349	21.375744	2.1384759	0.59217036	0.35123765
10	3.6626717	1.3659519	0.40858347	379.26423	7.2457519	1.9294846	0.21308807	0.40489802
11	2.7460636	-0.086227254	2.7650344	698.52645	12.061752	1.1927589	-0.84296459	-0.38243091
12	3.1405317	0.9800612	1.0224974	311.38181	10.569191	1.8778362	-0.48894435	0.24386552
13	4.5897327	0.41515315	0.45672763	473.99473	6.0668497	1.7750059	0.61816591	-0.43866491
14	5.7251294	-0.77400424	0.84641729	349.23804	18.590429	1.713253	-0.083815143	-0.42727423
15	4.4659459	0.2805062	2.751363	905.7197	19.853241	1.6081613	0.66327387	-0.49495095
16	1.4576184	0.85391339	2.4941076	322.23852	16.655132	1.6972723	-0.32928985	-0.15247245
17	1.8094942	0.12912099	0.26935593	737.35537	4.9697371	1.4343284	0.60207832	-0.36476108
18	3.2676855	0.26662913	1.6427144	203.47085	17.421581	2.0156801	0.46498233	-0.33713001
19	4.7522374	-0.040393483	0.056788453	998.37433	4.8827343	2.2516463	-0.98968172	0.17714621
20	0.584177	1.1486174	2.4276377	798.27361	9.5328598	1.3982168	0.10519728	0.33506146
21	4.3587706	0.99728472	0.47160216	763.91046	17.523495	2.0912151	-0.11464727	0.19114119
22	4.0781514	-0.1677887	0.55317885	996.74575	15.237474	1.9315248	0.33076775	0.16108133
23	3.9667616	-1.1022032	2.5012826	780.14105	8.988183	1.2380021	-0.94847757	0.39430368
24	0.10637031	-0.27564086	3.0245308	536.2745	11.455616	1.8153108	-0.5887531	-0.11060631
25	5.0535935	1.351782	2.7350564	474.53786	14.364848	2.080621	0.35491708	0.31295514
26	0.59100446	-1.0203997	1.0962362	291.74026	6.7197981	1.7855978	-0.33994707	-0.067693368
27	1.5910721	-0.020006002	2.5907433	702.15162	20.253679	1.6895665	0.080329508	-0.37744141
28	1.0343004	1.0315547	0.64997473	479.05125	12.227087	1.96424	0.009156961	0.35010746
29	5.2262904	-1.4217888	1.836134	385.13626	17.658047	1.4951011	-0.94896775	0.16184293
30	4.6812519	0.12245325	2.4631434	737.43388	4.9304056	1.9197147	0.89066118	0.18221959
31	3.972898	1.3230366	0.54939373	350.60914	10.975789	2.0590725	-0.79608786	-0.16213126
