simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd,redshift,mass1_detector,mass2_detector
3,64173.4842,1721907457.02,0.90171014,0.34458973,51.664185,19.743537,0.21996888,184.47588,3.0643749,1.2183794,0.78774416,0.27584037,11.992361,0.15003,0.307176,0.034559,0.117317,21.342323,0.975904,145.352591,30.504837,0.0404014,3.1881799,1.2676036
17,63091.9274,1628460944.41,1.8094942,0.12912099,103.676381,7.398088,0.26935593,737.35537,4.9697371,1.4343284,0.60207832,-0.36476108,11.906048,0.1779,0.078312,0.005239,0.026794,41.500407,0.963942,620.800324,206.119712,0.1500812,5.7156012,1.6495941
39,63189.7157,1636909852.96,5.1286029,-0.86469639,293.847301,-49.543454,2.0386369,627.96415,6.4813328,1.4022652,0.61733574,0.37914616,11.922535,0.17369,0.047636,0.002558,0.014416,47.977553,0.45096,871.542506,317.824208,0.1294753,7.3205053,1.5838239
94,61718.9436,1509835145.49,0.50942776,0.2790114,29.188061,15.986176,1.2919772,557.20498,14.353896,1.5092601,0.92682821,0.15531732,11.860609,0.18791,0.085389,0.003449,0.024973,64.142474,0.275221,1557.985595,456.379325,0.1158912,16.0173862,1.6841701
114,62198.7063,1551286638.9,3.352007,-0.31341134,192.055854,-17.957147,2.3426958,526.96477,17.390877,1.2717348,0.96510029,0.14297999,11.97551,0.15682,0.208269,0.08416,0.037824,22.0547,0.697498,623.938591,152.512004,0.1100208,19.3042352,1.4116521
137,62670.0027,1592006648.59,4.9244833,-0.43293425,282.152109,-24.805305,0.55670275,727.1234,13.765974,1.1632371,0.9337213,0.49854156,12.006658,0.14307,0.228995,0.103229,0.038329,56.678688,0.849002,657.235976,170.179962,0.1481732,15.8057224,1.3355977
150,62318.7338,1561657018.27,3.6632965,-0.67706612,209.891429,-38.793031,0.079914416,733.74438,5.6562271,1.3017744,0.39612439,-0.39591342,11.964979,0.16067,0.021322,0.000549,0.006785,37.946584,0.996809,759.645598,227.242079,0.1494083,6.5013144,1.4962703
191,62562.2474,1582696592.7,2.2914665,-0.21448275,131.291359,-12.288956,0.87731539,184.82699,4.5912576,1.1434275,0.35041642,-0.28486311,12.011448,0.14058,0.077087,0.027029,0.016925,58.872647,0.639218,291.195365,89.142578,0.0404761,4.7770938,1.189709
199,62932.3221,1614671043.33,3.4742183,0.5099669,199.058046,29.218951,0.58754205,795.45518,5.020524,1.5288697,0.85819119,-0.095889971,11.847217,0.19057,0.229429,0.016224,0.080669,71.640108,0.832306,696.217671,250.563945,0.1608431,5.8280406,1.7747778
216,61825.5539,1519046278.15,3.5863299,0.30294238,205.481567,17.35732,2.3219602,241.85752,6.5707297,1.1861339,0.38670325,0.068621084,12.000337,0.14596,0.019699,0.005378,0.004422,47.057424,0.68249,357.548131,120.652601,0.0525112,6.9157666,1.2484192
243,62555.0533,1582075025.81,1.9847525,-0.79791143,113.717942,-45.716957,0.82683671,213.84012,8.0149803,1.2765052,0.74806988,-0.36678177,11.973871,0.15743,0.111066,0.032912,0.023924,37.512158,0.677207,219.593147,49.901725,0.0466233,8.3886651,1.3360201
248,63008.9014,1621287494.95,4.852142,-0.24651517,278.007258,-14.124279,0.36155233,883.20665,16.338531,1.5001585,0.95805579,-0.18338433,11.866539,0.18669,0.12244,0.018643,0.031634,32.276491,0.935349,982.062117,343.757103,0.1768738,19.2283891,1.7654972
273,61120.4054,1458121441.14,5.7931377,-0.071982472,331.92234,-4.124292,0.41152005,719.32884,13.533473,1.4982258,0.95507604,-0.43076551,11.867547,0.18643,0.176377,0.037085,0.042455,28.400791,0.916514,949.857454,371.531099,0.146717,15.5190636,1.718041
275,62727.1148,1596941134.13,0.74524378,0.10297563,42.699323,5.900069,0.81742099,434.85593,5.4992366,1.2615954,0.56611288,0.22691528,11.978877,0.15553,0.092014,0.023305,0.022415,57.466515,0.684105,506.44308,146.435911,0.0918858,6.0045384,1.3775181
