simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
0,63369.9532,1652482378.1,0.62338936,-0.80975989,35.717579,-46.395824,2.6818813,659.8057,15.221812,1.9198136,0.12980495,-0.01218869,0.1355213,15.221812,1.9198136,13.4051315,1.6906892,11.29477,0.25101,0.0,0.0,0.0,63.809309,0.896181,605.05753,161.519884
1,61905.5726,1525959893.72,2.8075598,-0.053046081,160.861327,-3.039317,0.57445592,753.30333,13.355397,1.7106103,-0.1574353,-0.20560567,0.1530474,13.355397,1.7106103,11.5826956,1.4835559,11.675162,0.21637,0.0,0.0,0.0,31.932759,0.839488,924.582721,304.043573
2,62340.9575,1563577148.12,0.11101211,-0.3267155,6.360525,-18.719419,0.49158396,762.94463,16.702375,1.6988379,-0.32851779,0.24704728,0.1548361,16.702375,1.6988379,14.4629828,1.471064,11.688936,0.21462,0.0,0.0,0.0,62.181698,0.881586,671.177126,215.633579
3,63230.9101,1640469051.96,0.90171014,0.34458973,51.664185,19.743537,0.21996888,184.47588,3.0643749,1.2183794,0.78774416,0.27584037,0.0404014,3.0643749,1.2183794,2.9453776,1.1710667,11.992361,0.15003,0.307176,0.034559,0.103755,44.103566,0.975904,145.352591,30.504837
4,64277.5395,1730897830.51,2.1593047,0.58154604,123.719046,33.320134,0.41403881,721.04154,5.747683,2.2099643,-0.26422858,-0.48795417,0.1470372,5.747683,2.2099643,5.0108951,1.9266719,-157764058515840.0,-0.0,2.013742,0.0,0.756839,26.489764,0.915503,671.107122,165.996523
5,63888.4951,1697284394.23,2.9008096,0.014373412,166.204147,0.823536,0.60345345,854.61908,6.1781673,1.9265984,0.21788011,0.29434773,0.17168,6.1781673,1.9265984,5.2729136,1.6443043,11.276255,0.25231,0.0,0.0,0.0,61.37538,0.823381,1063.810456,358.660135
6,63886.7909,1697137153.62,2.1339736,-0.23171621,122.267681,-13.276361,0.90556823,777.93356,9.3091345,2.2145116,-0.43264848,0.13953292,0.1576103,9.3091345,2.2145116,8.0416824,1.9130026,-172616344899072.0,-0.0,2.25532,0.0,0.660329,31.927863,0.617239,1167.907935,388.548006
7,64245.6495,1728142537.1,1.5279502,1.503946,87.545098,86.169758,0.99736689,290.90056,10.321226,1.1838827,-0.13050884,0.11710837,0.0627075,10.321226,1.1838827,9.7121986,1.114025,12.000944,0.14568,0.0,0.0,0.0,35.308235,0.542516,351.318807,80.285931
8,63770.9039,1687124514.33,0.24087834,0.34845931,13.801312,19.965248,0.40974475,545.41745,2.888361,1.5718665,-0.43685433,-0.26748526,0.1136077,2.888361,1.5718665,2.593697,1.4115083,11.814266,0.19648,0.0,0.0,0.0,55.072473,0.917223,532.158913,186.367195
9,63054.0653,1625189658.63,3.658658,-0.5829733,209.625662,-33.40191,0.32023512,989.56349,21.375744,2.1384759,0.59217036,0.35123765,0.1959653,21.375744,2.1384759,17.8732136,1.7880751,-22359924092664.0,-0.0,2.891987,0.0,0.7795,31.28567,0.949161,763.421346,199.298793
10,61022.1641,1449633397.01,3.6626717,1.3659519,209.85563,78.263279,0.40858347,379.26423,7.2457519,1.9294846,0.21308807,0.40489802,0.0807445,7.2457519,1.9294846,6.7044079,1.7853291,11.268103,0.25287,0.0,0.0,0.0,47.392011,0.917685,309.709558,85.870408
11,62797.9933,1603065041.87,2.7460636,-0.086227254,157.337855,-4.940458,2.7650344,698.52645,12.061752,1.1927589,-0.84296459,-0.38243091,0.1428197,12.061752,1.1927589,10.5543786,1.0436982,11.998906,0.1468,0.0,0.0,0.0,44.551027,0.929936,590.643972,214.83108
12,63600.7625,1672424300.96,3.1405317,0.9800612,179.939212,56.15337,1.0224974,311.38181,10.569191,1.8778362,-0.48894435,0.24386552,0.0669255,10.569191,1.8778362,9.9062128,1.7600444,11.398574,0.24328,0.0,0.0,0.0,38.801191,0.521236,775.451417,283.460303
