simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
3,63230.9101,1640469051.96,0.90171014,0.34458973,51.664185,19.743537,0.21996888,184.47588,3.0643749,1.2183794,0.78774416,0.27584037,0.0404014,3.0643749,1.2183794,2.9453776,1.1710667,11.992361,0.15003,0.307176,0.034559,0.103755,44.103566,0.975904,145.352591,30.504837
17,62714.6552,1595864627.13,1.8094942,0.12912099,103.676381,7.398088,0.26935593,737.35537,4.9697371,1.4343284,0.60207832,-0.36476108,0.1500812,4.9697371,1.4343284,4.3212055,1.2471541,11.906048,0.1779,0.078312,0.005239,0.023697,66.869475,0.963942,620.800324,206.119712
39,62069.3764,1540112535.54,5.1286029,-0.86469639,293.847301,-49.543454,2.0386369,627.96415,6.4813328,1.4022652,0.61733574,0.37914616,0.1294753,6.4813328,1.4022652,5.7383571,1.2415191,11.922535,0.17369,0.047636,0.002558,0.012749,62.289593,0.45096,871.542506,317.824208
94,63039.2989,1623913846.02,0.50942776,0.2790114,29.188061,15.986176,1.2919772,557.20498,14.353896,1.5092601,0.92682821,0.15531732,0.1158912,14.353896,1.5092601,12.8631675,1.3525154,11.860609,0.18791,0.085389,0.003449,0.022086,73.981427,0.275221,1557.985595,456.379325
114,63656.32,1677224469.6,3.352007,-0.31341134,192.055854,-17.957147,2.3426958,526.96477,17.390877,1.2717348,0.96510029,0.14297999,0.1100208,17.390877,1.2717348,15.6671628,1.1456855,11.97551,0.15682,0.208269,0.08416,0.033451,70.70241,0.697498,623.938591,152.512004
137,62474.4981,1575115051.94,4.9244833,-0.43293425,282.152109,-24.805305,0.55670275,727.1234,13.765974,1.1632371,0.9337213,0.49854156,0.1481732,13.765974,1.1632371,11.9894582,1.0131199,12.006658,0.14307,0.228995,0.103229,0.033898,62.697397,0.849002,657.235976,170.179962
150,61909.6693,1526313846.65,3.6632965,-0.67706612,209.891429,-38.793031,0.079914416,733.74438,5.6562271,1.3017744,0.39612439,-0.39591342,0.1494083,5.6562271,1.3017744,4.9209905,1.1325605,11.964979,0.16067,0.021322,0.000549,0.006001,64.875371,0.996809,759.645598,227.242079
191,62307.3096,1560669968.46,2.2914665,-0.21448275,131.291359,-12.288956,0.87731539,184.82699,4.5912576,1.1434275,0.35041642,-0.28486311,0.0404761,4.5912576,1.1434275,4.4126508,1.0989465,12.011448,0.14058,0.077087,0.027029,0.014968,26.364332,0.639218,291.195365,89.142578
199,63901.4965,1698407713.55,3.4742183,0.5099669,199.058046,29.218951,0.58754205,795.45518,5.020524,1.5288697,0.85819119,-0.095889971,0.1608431,5.020524,1.5288697,4.3248945,1.3170339,11.847217,0.19057,0.229429,0.016224,0.071343,41.348589,0.832306,696.217671,250.563945
216,61174.3828,1462785088.36,3.5863299,0.30294238,205.481567,17.35732,2.3219602,241.85752,6.5707297,1.1861339,0.38670325,0.068621084,0.0525112,6.5707297,1.1861339,6.242907,1.1269561,12.000337,0.14596,0.019699,0.005378,0.003911,66.410378,0.68249,357.548131,120.652601
