simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	0.62338936	-0.80975989	2.6818813	659.8057	5.8567352	1.4822982	0.63411004	0.41038919
1	2.8075598	-0.053046081	0.57445592	753.30333	13.040216	1.5566059	0.82450595	-0.15001351
2	0.90171014	0.34458973	0.21996888	184.47588	2.5551192	1.1978937	0.63788946	0.0072331849
3	2.1593047	0.58154604	0.41403881	721.04154	3.7412506	1.2194376	-0.089142487	0.095676034
4	2.9008096	0.014373412	0.60345345	854.61908	9.1884956	1.5957906	0.76847241	-0.078066706
5	5.1870369	-0.12689158	1.527066	669.68895	19.102271	1.7467304	0.96625348	-0.44623367
6	2.1339736	-0.23171621	0.90556823	777.93356	13.77065	1.3461723	0.94159657	-0.21385079
7	1.5279502	1.503946	0.99736689	290.90056	6.9787809	1.1802588	0.44519029	0.30815212
8	0.24087834	0.34845931	0.40974475	545.41745	9.6421103	1.313292	0.73371622	0.39921938
9	2.565965	-0.35583814	3.0367579	782.50395	18.435397	1.5022834	0.93792231	0.35810002
10	3.658658	-0.5829733	0.32023512	989.56349	9.7403265	1.6654187	0.70625783	-0.050678289
11	3.6626717	1.3659519	0.40858347	379.26423	14.252027	1.2894586	0.86162742	-0.41041589
12	3.1405317	0.9800612	1.0224974	311.38181	7.7219732	1.4929457	0.80277804	-0.28194149
13	4.5897327	0.41515315	0.45672763	473.99473	3.3548175	1.7339182	0.91264172	-0.46477819
14	5.7251294	-0.77400424	0.84641729	349.23804	7.962899	1.1268581	0.56803193	0.46077678
15	1.4576184	0.85391339	2.4941076	322.23852	7.6253376	1.3289665	0.81802427	-0.34208738
16	1.8094942	0.12912099	0.26935593	737.35537	3.1350165	1.5219242	0.76426219	-0.45730079
17	3.2676855	0.26662913	1.6427144	203.47085	4.152798	1.3715769	0.69832536	-0.094932282
18	4.7522374	-0.040393483	0.056788453	998.37433	13.435773	1.6839122	0.94624269	0.4929539
19	6.0936405	0.39417638	0.90515089	442.07845	15.820968	1.2850685	0.8191121	-0.32050349
20	4.3834651	0.99558865	1.3737596	762.01494	21.844311	1.3810904	0.97091591	0.12283554
21	4.0781514	-0.1677887	0.55317885	996.74575	15.775344	1.3634158	0.81158137	0.025522517
22	3.9667616	-1.1022032	2.5012826	780.14105	8.5089247	1.3712843	0.49991362	0.047219942
23	5.3734575	1.0998989	0.84984779	636.38293	7.5997392	1.9316717	0.92805804	0.033837497
24	0.10637031	-0.27564086	3.0245308	536.2745	19.059578	1.4014575	0.90352836	-0.16805036
25	5.0535935	1.351782	2.7350564	474.53786	9.1759217	1.2589653	0.66111582	0.234059
26	0.59100446	-1.0203997	1.0962362	291.74026	11.309913	1.0796629	0.80635336	0.19267574
27	5.2262904	-1.4217888	1.836134	385.13626	18.757387	1.3701208	0.90292614	-0.35391659
28	3.972898	1.3230366	0.54939373	350.60914	7.8347553	1.1056136	0.30847811	-0.33705584
