simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2_source,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
0.0,64214.0613,1725413311.93,0.62338936,-0.80975989,35.717579,-46.395824,2.6818813,659.8057,5.8567352,1.4822982,0.63411004,0.41038919,0.1355213,5.8567352,1.4822982,5.1577503,1.3053901,11.963667,0.16113,0.124359,0.024412,0.028394,30.0,0.896181,605.05753,161.519884
1.0,62078.6147,1540910724.89,2.8075598,-0.053046081,160.861327,-3.039317,0.57445592,753.30333,13.040216,1.5566059,0.82450595,-0.15001351,0.1530474,13.040216,1.5566059,11.3093495,1.349993,11.947526,0.16686,0.067166,0.011401,0.014169,30.0,0.839488,924.582721,304.043573
2.0,61292.5325,1472993225.29,0.90171014,0.34458973,51.664185,19.743537,0.21996888,184.47588,2.5551192,1.1978937,0.63788946,0.0072331849,0.0404014,2.5551192,1.1978937,2.4558976,1.1513765,12.009101,0.14158,0.257909,0.028679,0.0862,30.0,0.975904,671.177126,215.633579
3.0,61955.0615,1530235729.88,2.1593047,0.58154604,123.719046,33.320134,0.41403881,721.04154,3.7412506,1.2194376,-0.089142487,0.095676034,0.1470372,3.7412506,1.2194376,3.2616646,1.0631195,12.028717,0.13052,0.048667,0.021682,0.008843,30.0,0.915503,145.352591,30.504837
4.0,61694.5614,1507728519.62,2.9008096,0.014373412,166.204147,0.823536,0.60345345,854.61908,9.1884956,1.5957906,0.76847241,-0.078066706,0.17168,9.1884956,1.5957906,7.8421546,1.361968,11.940937,0.16843,0.107089,0.023361,0.021474,30.0,0.823381,671.107122,165.996523
5.0,61892.284,1524811756.13,5.1870369,-0.12689158,297.195323,-7.270352,1.527066,669.68895,19.102271,1.7467304,0.96625348,-0.44623367,0.1373897,19.102271,1.7467304,16.7948339,1.5357361,11.842818,0.1915,0.127752,0.017073,0.028116,30.0,0.043716,1063.810456,358.660135
6.0,63503.9862,1664062824.37,2.1339736,-0.23171621,122.267681,-13.276361,0.90556823,777.93356,13.77065,1.3461723,0.94159657,-0.21385079,0.1576103,13.77065,1.3461723,11.8957561,1.162889,12.00672,0.14303,0.289653,0.116999,0.043861,30.0,0.617239,1167.907935,388.548006
7.0,61216.1448,1466393326.77,1.5279502,1.503946,87.545098,86.169758,0.99736689,290.90056,6.9787809,1.1802588,0.44519029,0.30815212,0.0627075,6.9787809,1.1802588,6.5669821,1.1106149,12.019022,0.13646,0.05118,0.025437,0.00659,30.0,0.542516,351.318807,80.285931
8.0,62374.6271,1566486195.5,0.24087834,0.34845931,13.801312,19.965248,0.40974475,545.41745,9.6421103,1.313292,0.73371622,0.39921938,0.1136077,9.6421103,1.313292,8.6584442,1.1793129,12.002312,0.1451,0.109334,0.043457,0.01675,30.0,0.917223,532.158913,186.367195
9.0,61810.5524,1517750143.32,2.565965,-0.35583814,147.018965,-20.388024,3.0367579,782.50395,18.435397,1.5022834,0.93792231,0.35810002,0.1584546,18.435397,1.5022834,15.9137844,1.2967995,11.966768,0.16003,0.146818,0.051721,0.024158,30.0,0.99451,763.421346,199.298793
10.0,64361.8318,1738180685.04,3.658658,-0.5829733,209.625662,-33.40191,0.32023512,989.56349,9.7403265,1.6654187,0.70625783,-0.050678289,0.1959653,9.7403265,1.6654187,8.1443217,1.3925309,11.927561,0.17241,0.049118,0.003256,0.011748,30.0,0.949161,309.709558,85.870408
11.0,64111.4977,1716551818.95,3.6626717,1.3659519,209.85563,78.263279,0.40858347,379.26423,14.252027,1.2894586,0.86162742,-0.41041589,0.0807445,14.252027,1.2894586,13.1872307,1.1931207,11.998838,0.14684,0.10897,0.04507,0.016233,30.0,0.917685,590.643972,214.83108
