simulation_id,longitude,latitude,inclination,distance,mass1,mass2,spin1z,spin2z
0,2.993575,0.31569722,2.0030861,1014.3241,8.8403541,1.5373249,0.5728372,0.030051949
1,3.3981228,1.3843112,1.0689211,1093.0053,6.2303059,1.7181483,-0.81131404,-0.029605217
2,1.1415065,1.1881556,2.629991,2249.3387,36.130994,1.7898148,-0.49338849,0.035750768
3,5.923145,1.0533621,2.0301308,333.73846,5.611615,1.3847393,-0.26851709,0.027101883
4,0.67693347,-0.92783274,0.71928325,1849.9214,8.0043661,1.7542698,0.73703328,0.012692759
5,0.64246791,0.23709627,1.2560887,1172.6176,6.5893291,1.7542965,-0.81798016,0.031916452
6,3.8546085,0.16610729,1.6693777,1848.7215,17.72921,1.9144381,0.58566159,0.016609131
7,4.929868,-0.16404952,3.0431832,1867.0101,11.113011,1.8167766,0.37408328,0.039422966
8,1.6661491,-0.91702632,2.6390425,2074.2508,43.774465,1.6857857,0.83674752,0.044362875
9,1.6527006,-0.55067389,2.0945929,1341.3102,13.621836,2.0251153,0.41937898,0.025253712
11,5.4791453,-0.15435469,0.73982172,938.62012,8.0960387,1.634875,0.57807254,0.0099810122
12,1.9301014,-0.42817376,2.3582346,1484.3811,30.811109,1.9909945,-0.11817337,0.010188525
13,1.1945903,0.49515622,2.0892908,874.56097,8.5438425,1.6018292,-0.35846499,-0.017469938
14,5.9971485,0.2547955,2.310982,575.7762,9.4826547,1.5419528,0.18376763,0.00096334876
15,0.53908163,-0.061076352,2.8045328,871.41111,29.359756,1.5027321,-0.32975703,-0.044917803
16,2.3255985,-1.0387107,2.1491759,1679.787,23.883586,1.7749946,0.49645723,-0.0041914274
18,2.8138605,0.73039712,0.72115826,1925.4241,58.623179,1.6527284,0.69936545,-0.0084797076
19,2.3872852,0.87115953,2.0523366,1074.2193,38.62415,1.6695474,0.13797908,-0.039566673
20,3.6229343,0.58563957,2.6432339,411.51766,7.97049,1.3301805,-0.57397945,0.012084193
21,3.3238176,0.39041463,0.35682708,1426.5045,13.447501,1.4606464,0.38241985,-0.025502663
22,2.9578287,-0.54325895,1.7584817,378.32258,10.584476,1.4513204,-0.36796631,-0.045883774
23,0.51457126,-1.0153521,2.9566765,1273.2011,9.047272,1.6289677,0.83251077,-0.019847606
24,5.9830292,0.95627987,0.48259436,1011.6018,8.6079829,1.6574682,0.2491723,-0.042650749
25,3.5352291,0.42330976,1.2628862,889.47894,8.831898,1.5506191,-0.57041574,-0.036362
26,2.9637456,-0.081848925,0.41550033,1402.567,24.825197,1.6989244,0.63542188,-0.013759466
27,4.4502202,-0.50073823,1.6443882,478.69688,8.7853362,1.3903473,-0.3799996,0.02516183
28,4.7413641,0.23172997,2.2429006,1622.9327,13.215067,1.8040401,-0.1932545,0.016750544
29,2.7040567,-0.39850663,1.079266,326.10717,8.7397685,1.5329283,-0.20745471,0.016411953
30,5.0818308,0.52572448,0.78474245,1101.8134,7.9472099,1.6875829,0.18377883,-0.022961381
31,6.1371103,0.19955755,2.3353877,2071.035,27.742352,1.8739392,0.79510581,0.027129734
32,3.6423119,-0.15780213,2.2957837,1684.0524,24.192502,1.7089067,0.18766321,0.026549419
33,1.3674339,-0.25277355,1.5066724,1154.376,18.268539,1.6905729,-0.56824552,0.028065968
34,0.63770128,0.1288692,2.2748609,1171.7482,9.1150182,1.7810598,-0.40867421,-0.035315658
35,4.0473661,1.3087517,0.82624037,1424.8444,14.032283,1.7269992,-0.24091544,0.0083655663
36,4.4136631,0.11584202,1.039474,809.06428,10.272794,1.6175503,0.89889609,0.040813455
37,1.7582558,0.21864482,0.85181538,594.0011,6.9107606,1.4624341,-0.88317719,0.011266454
38,3.9579568,0.71715905,1.2161716,764.94977,15.67985,1.2607364,0.77764995,0.044362585
39,0.066162298,-1.2565751,0.50810262,1207.4382,9.4806678,1.5332345,0.9118049,-0.038061426
40,1.9738675,-0.89709073,2.8682988,1903.5238,14.718398,1.7906205,-0.27938814,0.036369463
41,1.6068385,0.34714202,1.1041903,1139.2242,6.5119788,1.683329,0.00075155636,0.031435907
42,4.9223536,-0.027501914,1.6974364,830.68227,29.054954,1.5812773,0.82585982,0.027622472
43,1.2879053,0.19898706,2.9649923,1639.9482,50.508134,1.6969116,0.44332436,-0.02209944
44,4.8357705,-1.277131,0.67451996,1195.8239,7.2563489,1.6627952,0.84331459,-0.042241134
45,2.0006926,-0.12918107,2.933629,1399.0481,8.7811647,1.7306743,0.2183045,-0.0099034985
46,2.166302,0.31615576,2.5167302,1793.738,25.197556,1.8835555,0.39292028,-0.013864017
47,5.0218295,-0.24711925,0.068542431,1371.4864,16.423713,1.6299662,-0.33691173,-0.049139243
48,5.4703317,0.13633982,2.1433292,434.52898,15.808776,1.4250635,-0.64353654,0.00020295335
49,1.4080519,-0.76610009,2.184316,1335.9346,9.5351572,1.6907997,0.50727179,-0.0070416618
50,1.2875112,0.48425694,1.3115118,456.86666,8.8942764,1.54293,-0.26918026,0.0018735582
51,4.126289,0.20724236,2.684743,1224.2866,59.745475,1.6109022,0.12257512,0.034303522
52,2.356662,0.23163184,0.86657921,1061.4476,18.527021,1.6534481,-0.881417,0.017565342
53,1.3685874,-0.41937694,0.34400021,1201.6306,10.409009,1.7941907,0.055457187,-0.015532545
54,3.1503422,0.012731769,1.4213501,1365.694,23.694852,1.6444183,-0.23851358,-0.033385352
55,0.90001414,-0.32366657,2.7811768,1187.3351,42.555676,1.5896881,-0.40939943,0.013317018
56,6.1842631,0.47506696,2.4186346,2630.5787,7.7886935,1.9814291,-0.33687865,-0.028508112
57,3.3001627,0.65171687,1.9023398,542.29169,6.4543817,1.5981525,-0.44654243,-0.019527951
58,2.1286567,-0.07162865,0.30877399,1174.0196,6.5926648,1.6253121,-0.8367079,0.046625038
59,1.3161058,-0.64388903,0.53546069,870.13285,51.067717,1.5472406,0.082754987,0.024622908
60,6.0107148,-0.24966972,1.1148293,1185.7955,16.411802,1.6270492,-0.85111511,-0.026280122
61,2.2906796,1.3899676,0.63516292,1332.6502,7.9633217,2.0267298,-0.7161404,0.0014126236
62,0.60789625,-1.1208054,2.1703644,1021.9707,6.3170092,1.4208089,0.1347498,0.037973612
63,2.292582,-0.82964044,0.78667842,1340.6072,37.338066,1.8576939,0.97568903,-0.048628665
64,2.6074591,-0.92781966,2.9113443,1604.5576,21.479539,1.7188677,-0.91826812,-0.018391147
65,5.1780088,-0.89913346,0.18006638,1420.9239,47.161289,1.5685731,-0.15822066,-0.049836289
66,4.8291842,-0.48198172,1.2720993,1065.3641,31.503611,1.5233487,0.062912044,-0.04141895
67,1.7654985,0.57990584,0.75607421,2741.3675,11.894112,1.9909115,0.41743877,0.013715389
68,6.2480482,0.34796534,2.1290409,532.49765,10.465682,1.5138002,-0.5722749,0.011346923
69,1.3461192,-0.48002079,2.6337377,2109.7055,12.036383,1.8836666,0.56444917,0.046486286
70,3.3265122,-0.19651118,2.7759645,1331.8446,28.413562,1.6854289,0.34589557,-0.019172716
71,0.37307845,-0.43503502,2.8834601,290.08771,5.7166009,1.4601917,0.22887264,-0.0050398848
72,0.064439343,0.2952888,0.73637115,963.82178,12.930018,1.5978172,0.073839113,0.035324015
